Type                                  Module                      Label             Process   
vector<reco::MuonTrackLinks>          "hltL3MuonsIterL3OIPPOnAA"   ""                "MyHLT"   
vector<reco::RecoChargedCandidate>    "hltIter3IterL3MuonL2CandidatesPPOnAA"   ""                "MyHLT"   
vector<reco::RecoChargedCandidate>    "hltIterL3MuonCandidatesPPOnAA"   ""                "MyHLT"   
vector<reco::RecoChargedCandidate>    "hltIterL3OIL3MuonCandidatesPPOnAA"   ""                "MyHLT"   
vector<reco::RecoChargedCandidate>    "hltL2MuonCandidatesPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter0IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter0IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter0IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter2IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter2IterL3FromL1MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter2IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter2IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter2IterL3MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter2IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter3IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter3IterL3FromL1MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter3IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter3IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter3IterL3MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIter3IterL3MuonTrackSelectionHighPurityPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3FromL1MuonPixelTracksPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3GlbMuonPPOnAA"    ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3MuonAndMuonFromL1MergedPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3MuonMergedPPOnAA"   ""                "MyHLT"   
vector<reco::Track>                   "hltIterL3MuonPixelTracksPPOnAA"   ""                "MyHLT"   
